,tconst,averageRating,numVotes,originalTitle,startYear,runtimeMinutes,title,language,backdrop_path,budget,tmdb_id,overview,popularity,poster_path,production_countries,url_imdb,teaser_link,Keywords,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,TV Movie,Thriller,War,Western
0,tt0041117,0.1428571428571428,864,Ambush,0.0,0.0,Embuscade,0,https://image.tmdb.org/t/p/original/lSE957xunNt6abxzBq9nWfYF6Mu.jpg,0.0,151310,A Westerner searches for a white woman held by the Apaches.,0.022232529375386518,https://image.tmdb.org/t/p/original/cmmfwAJH1AxV6moF8cqJPdgFfMI.jpg,['US'],https://www.imdb.com/title/tt0041117,Bande-annonce non trouvée,['apache nation'],0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0
1,tt0041181,0.1071428571428572,951,Black Hand,0.0,0.033333333333333215,Black Hand,1,https://image.tmdb.org/t/p/original/3zx2FYZCc8IZaqyXnS4AicysNgx.jpg,0.0,41552,"In turn-of-the-century New York, an Italian seeks vengeance on the mobsters who killed his father.",0.010348381776953203,https://image.tmdb.org/t/p/original/6WfHXzS2CpXT3DRAwEkDnw7aJIj.jpg,['US'],https://www.imdb.com/title/tt0041181,Bande-annonce non trouvée,"['immigrant', 'italian stereotype']",0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,0.0,0,0.0,0,0,0,0,1.0,0,0.0
2,tt0041387,0.1071428571428572,1455,Francis,0.0,0.016666666666666607,"Francis, le mulet qui parle",0,https://image.tmdb.org/t/p/original/aZ8WT3iNZU3bFZruJ1WMiKJ2Ekn.jpg,0.0,43387,"The truthful soldier Stirling didn't know how to lie about his source of information, the talking army Mule, Francis, so he was treated as a lunatic and led to one after another hilarious situations, where the mule was the only one that appeared in his right mind. In the process of all this, the mule assisted in uncovering a spy, Mareen, who pretended to be lost among the jungles, but was actually...",0.04738198309626881,https://image.tmdb.org/t/p/original/bKjJYQzIVrMKjehGq8xKrEWNebq.jpg,['US'],https://www.imdb.com/title/tt0041387,Bande-annonce non trouvée,"['based on novel or book', 'horse', 'sergeant', 'mule', 'psychotronic film', 'animals family']",0,0,0,0,1,0,0.0,1,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,1,0.0
3,tt0041694,0.4285714285714284,2899,No Man of Her Own,0.0,0.1333333333333333,I Married a Dead Man,1,https://image.tmdb.org/t/p/original/daiY8KJWfAL9WfvnYELphzYvIoE.jpg,0.0,40767,A penniless pregnant woman adopts the identity of a rich woman killed in a train crash.,0.03462172747887034,https://image.tmdb.org/t/p/original/pYJukaE6s3AwHXJ1pQl8PEVlozx.jpg,['US'],https://www.imdb.com/title/tt0041694,Bande-annonce non trouvée,"['blackmail', 'train crash', 'film noir', 'stolen identity', 'unmarried mother', 'jilted woman', 'domestic', 'melodrama']",0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0.0,0,1.0,0,0,0,0,0.0,0,0.0
4,tt0041719,0.6428571428571428,13387,Orphée,0.0,0.3666666666666667,Orphée,0,https://image.tmdb.org/t/p/original/aZCi37ZOJZnECirobe36Fx9r1Yr.jpg,0.0,4558,A poet in love with Death follows his unhappy wife into the underworld.,0.0639868068439497,https://image.tmdb.org/t/p/original/ysevOQ1qRChVdWnhvCnB4izaW9d.jpg,['FR'],https://www.imdb.com/title/tt0041719,Bande-annonce non trouvée,"['paris, france', 'orpheus', 'mythology', 'greek mythology']",0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0.0,0,1.0,0,0,0,0,0.0,0,0.0
5,tt0042200,0.2857142857142856,5267,Annie Get Your Gun,0.0,0.2833333333333332,Annie Get Your Gun,1,https://image.tmdb.org/t/p/original/tih6Bfzh08zaZ8MCZdfv2G2Fm6f.jpg,3768785.0,25209,Gunslinger Annie Oakley romances fellow sharpshooter Frank Butler as they travel with Buffalo Bill's Wild West Show.,0.06051329622758195,https://image.tmdb.org/t/p/original/jyHMlEbmG0IYcAo2m3nfpkx7LXh.jpg,['US'],https://www.imdb.com/title/tt0042200,Bande-annonce non trouvée,"['musical', 'annie oakley', 'sharpshooter', 'wild west show']",1,0,0,0,1,0,0.0,0,0,0,0,0,0,1,1.0,0,1.0,0,0,0,0,0.0,0,1.0
6,tt0042235,0.4642857142857144,1811,La beauté du diable,0.0,0.08333333333333326,The Beauty of the Devil,1,https://image.tmdb.org/t/p/original/snhUfzbtmhXPRidEmBgPo4VBYfN.jpg,0.0,58513,"Henri Faust, retiring after 50 years as a professor in a circa-1700 French university, despairs at the ravages of old age ... whereupon Mephistopheles, agent of Lucifer, appears as a virile, handsome young man  and exchanges bodies with him to induce Faust to sign a pact to exchange his soul for renewed youth, riches and power.  But though the ""new"" Faust is attracted by the material improvements in his life, he remains wary of signing, while Mephistopheles, now posing as the aged professor whose body he inhabits, must find a way to trick him into signing the pact - and dissuade him from the love of a gypsy girl who prays for his soul - or find himself damned by his own Master...",0.03325087610801897,https://image.tmdb.org/t/p/original/1fZMbQIBqigmQ1TfxKxwgQEZdi2.jpg,['FR'],https://www.imdb.com/title/tt0042235,https://www.youtube.com/watch?v=JVBY8SwhD9o,"['eternal youth', 'lucifer']",0,0,0,0,1,0,0.0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0
7,tt0042256,0.03571428571428559,2457,The Black Rose,0.0,0.5,La rose noire,0,https://image.tmdb.org/t/p/original/61NQmaulI0HMWSZYQ6qRr4s9UW7.jpg,0.0,44398,"In the 13th century, Walter of Gurnie, a disinherited Saxon youth, is forced to flee England. With his friend, Tristram, he falls in with the army of the fierce but avuncular General Bayan, and journeys all the way to China, where both men become involved in intrigues in the court of Kublai Khan.",0.025376211090496804,https://image.tmdb.org/t/p/original/g8038EuXcIIT10TCj6H3iDSf6xJ.jpg,"['GB', 'US']",https://www.imdb.com/title/tt0042256,Bande-annonce non trouvée,,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0,1.0,0,0,0,0,0.0,1,0.0
8,tt0042276,0.5,12402,Born Yesterday,0.0,0.21666666666666656,Comment l'esprit vient aux femmes,0,https://image.tmdb.org/t/p/original/kDLXP6vuZ4Zgc8BbNvur6Hc0UmQ.jpg,0.0,24481,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",0.07946815089672232,https://image.tmdb.org/t/p/original/5KWpPOwBm53hs9J8JAscd5WI1jo.jpg,['US'],https://www.imdb.com/title/tt0042276,Bande-annonce non trouvée,"['washington dc, usa', 'congress', 'tycoon', 'based on play or musical', 'political satire']",0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,0.0,0,0.0
9,tt0042279,0.2142857142857144,1019,Branded,0.0,0.2333333333333334,Marqué au fer,0,https://image.tmdb.org/t/p/original/lUKsGSSnO2B3PF4vgYWdEWNhBpG.jpg,0.0,160783,"A gunfighter takes part in a scheme to bilk a wealthy cattle family out of half a million dollars by pretending to be their son, who was kidnapped as child.",0.03455988455988456,https://image.tmdb.org/t/p/original/e84Md7wUVzpOHaAPt02i2yUc061.jpg,['US'],https://www.imdb.com/title/tt0042279,Bande-annonce non trouvée,['gunfighter'],0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,0.0,0,1.0
