,tconst,averageRating,numVotes,originalTitle,startYear,runtimeMinutes,title,language,tmdb_id,overview,popularity,poster_path,production_countries,genres,teaser_link,Keywords,Actors_names,Actors_names2,mots
0,tt0041117,6.5,864,Ambush,1950,90,Embuscade,fr,151310,A Westerner searches for a white woman held by the Apaches.,2.757,https://image.tmdb.org/t/p/original/cmmfwAJH1AxV6moF8cqJPdgFfMI.jpg,['US'],"Western,Drama",Bande-annonce non trouvée,apache nation,"Robert Taylor,John Hodiak,Arlene Dahl,Don Taylor,Jean Hagen,Bruce Cowling,Leon Ames,John McIntire,Pat Moriarity,Charles Stevens,Sam Wood",RobertTaylor JohnHodiak ArleneDahl DonTaylor JeanHagen BruceCowling LeonAmes JohnMcIntire PatMoriarity CharlesStevens SamWood,Western Drama apache nation fr RobertTaylor JohnHodiak ArleneDahl DonTaylor JeanHagen BruceCowling LeonAmes JohnMcIntire PatMoriarity CharlesStevens SamWood
1,tt0041181,6.4,951,Black Hand,1950,92,Black Hand,en,41552,"In turn-of-the-century New York, an Italian seeks vengeance on the mobsters who killed his father.",1.604,https://image.tmdb.org/t/p/original/6WfHXzS2CpXT3DRAwEkDnw7aJIj.jpg,['US'],"Film-Noir,Drama,Thriller,Crime",Bande-annonce non trouvée,"immigrant,italian stereotype","Gene Kelly,J. Carrol Naish,Teresa Celli,Marc Lawrence,Frank Puglia,Barry Kelley,Mario Siletti,Carl Milletaire,Peter Brocco,Eleonora von Mendelssohn,Richard Thorpe",GeneKelly J.CarrolNaish TeresaCelli MarcLawrence FrankPuglia BarryKelley MarioSiletti CarlMilletaire PeterBrocco EleonoravonMendelssohn RichardThorpe,Film-Noir Drama Thriller Crime immigrant italian stereotype en GeneKelly J.CarrolNaish TeresaCelli MarcLawrence FrankPuglia BarryKelley MarioSiletti CarlMilletaire PeterBrocco EleonoravonMendelssohn RichardThorpe
2,tt0041387,6.4,1455,Francis,1950,91,"Francis, le mulet qui parle",fr,43387,"The truthful soldier Stirling didn't know how to lie about his source of information, the talking army Mule, Francis, so he was treated as a lunatic and led to one after another hilarious situations, where the mule was the only one that appeared in his right mind. In the process of all this, the mule assisted in uncovering a spy, Mareen, who pretended to be lost among the jungles, but was actually...",5.197,https://image.tmdb.org/t/p/original/bKjJYQzIVrMKjehGq8xKrEWNebq.jpg,['US'],"Comedy,Family,War,Drama,Fantasy",Bande-annonce non trouvée,"based on novel or book,horse,sergeant,mule,psychotronic film,animals family","John McIntire,Donald O'Connor,Patricia Medina,Zasu Pitts,Ray Collins,Eduard Franz,Howland Chamberlain,James Todd,Robert Warwick,Frank Faylen,Arthur Lubin",JohnMcIntire DonaldO'Connor PatriciaMedina ZasuPitts RayCollins EduardFranz HowlandChamberlain JamesTodd RobertWarwick FrankFaylen ArthurLubin,Comedy Family War Drama Fantasy based on novel or book horse sergeant mule psychotronic film animals family fr JohnMcIntire DonaldO'Connor PatriciaMedina ZasuPitts RayCollins EduardFranz HowlandChamberlain JamesTodd RobertWarwick FrankFaylen ArthurLubin
3,tt0041694,7.3,2899,No Man of Her Own,1950,98,I Married a Dead Man,en,40767,A penniless pregnant woman adopts the identity of a rich woman killed in a train crash.,3.959,https://image.tmdb.org/t/p/original/pYJukaE6s3AwHXJ1pQl8PEVlozx.jpg,['US'],"Film-Noir,Drama,Romance",Bande-annonce non trouvée,"blackmail,train crash,film noir,stolen identity,unmarried mother,jilted woman,domestic,melodrama","Barbara Stanwyck,John Lund,Jane Cowl,Phyllis Thaxter,Lyle Bettger,Henry O'Neill,Richard Denning,Carole Mathews,Harry Antrim,Catherine Craig",BarbaraStanwyck JohnLund JaneCowl PhyllisThaxter LyleBettger HenryO'Neill RichardDenning CaroleMathews HarryAntrim CatherineCraig,Film-Noir Drama Romance blackmail train crash film noir stolen identity unmarried mother jilted woman domestic melodrama en BarbaraStanwyck JohnLund JaneCowl PhyllisThaxter LyleBettger HenryO'Neill RichardDenning CaroleMathews HarryAntrim CatherineCraig
4,tt0041719,7.9,13387,Orphée,1950,112,Orphée,fr,4558,A poet in love with Death follows his unhappy wife into the underworld.,6.808,https://image.tmdb.org/t/p/original/ysevOQ1qRChVdWnhvCnB4izaW9d.jpg,['FR'],"Romance,Drama,Fantasy",Bande-annonce non trouvée,"paris, france,orpheus,mythology,greek mythology","Jean Marais,François Périer,María Casares,Marie Déa,Henri Crémieux,Juliette Gréco,Roger Blin,Edouard Dermithe,André Carnège,Jean Cocteau",JeanMarais FrançoisPérier MaríaCasares MarieDéa HenriCrémieux JulietteGréco RogerBlin EdouardDermithe AndréCarnège JeanCocteau,Romance Drama Fantasy paris  france orpheus mythology greek mythology fr JeanMarais FrançoisPérier MaríaCasares MarieDéa HenriCrémieux JulietteGréco RogerBlin EdouardDermithe AndréCarnège JeanCocteau
5,tt0042200,6.9,5267,Annie Get Your Gun,1950,107,Annie Get Your Gun,en,25209,Gunslinger Annie Oakley romances fellow sharpshooter Frank Butler as they travel with Buffalo Bill's Wild West Show.,6.471,https://image.tmdb.org/t/p/original/jyHMlEbmG0IYcAo2m3nfpkx7LXh.jpg,['US'],"Comedy,Romance,Western,Musical,Action,Music",Bande-annonce non trouvée,"musical,annie oakley,sharpshooter,wild west show","J. Carrol Naish,Betty Hutton,Howard Keel,Louis Calhern,Edward Arnold,Keenan Wynn,Benay Venuta,Clinton Sundberg,Dorothy Abbott,Bette Arlen,George Sidney",J.CarrolNaish BettyHutton HowardKeel LouisCalhern EdwardArnold KeenanWynn BenayVenuta ClintonSundberg DorothyAbbott BetteArlen GeorgeSidney,Comedy Romance Western Musical Action Music musical annie oakley sharpshooter wild west show en J.CarrolNaish BettyHutton HowardKeel LouisCalhern EdwardArnold KeenanWynn BenayVenuta ClintonSundberg DorothyAbbott BetteArlen GeorgeSidney
6,tt0042235,7.4,1811,La beauté du diable,1950,95,The Beauty of the Devil,en,58513,"Henri Faust, retiring after 50 years as a professor in a circa-1700 French university, despairs at the ravages of old age ... whereupon Mephistopheles, agent of Lucifer, appears as a virile, handsome young man  and exchanges bodies with him to induce Faust to sign a pact to exchange his soul for renewed youth, riches and power.  But though the ""new"" Faust is attracted by the material improvements in his life, he remains wary of signing, while Mephistopheles, now posing as the aged professor whose body he inhabits, must find a way to trick him into signing the pact - and dissuade him from the love of a gypsy girl who prays for his soul - or find himself damned by his own Master...",3.826,https://image.tmdb.org/t/p/original/1fZMbQIBqigmQ1TfxKxwgQEZdi2.jpg,['FR'],"Comedy,Drama,Fantasy",https://www.youtube.com/watch?v=JVBY8SwhD9o,"eternal youth,lucifer","Michel Simon,Gérard Philipe,Nicole Besnard,Simone Valère,Carlo Ninchi,Raymond Cordy,Tullio Carminati,Paolo Stoppa,Gaston Modot,René Clair",MichelSimon GérardPhilipe NicoleBesnard SimoneValère CarloNinchi RaymondCordy TullioCarminati PaoloStoppa GastonModot RenéClair,Comedy Drama Fantasy eternal youth lucifer en MichelSimon GérardPhilipe NicoleBesnard SimoneValère CarloNinchi RaymondCordy TullioCarminati PaoloStoppa GastonModot RenéClair
7,tt0042256,6.2,2457,The Black Rose,1950,120,La rose noire,fr,44398,"In the 13th century, Walter of Gurnie, a disinherited Saxon youth, is forced to flee England. With his friend, Tristram, he falls in with the army of the fierce but avuncular General Bayan, and journeys all the way to China, where both men become involved in intrigues in the court of Kublai Khan.",3.062,https://image.tmdb.org/t/p/original/g8038EuXcIIT10TCj6H3iDSf6xJ.jpg,"['GB', 'US']","Adventure,Romance,History,War",Bande-annonce non trouvée,,"Tyrone Power,Orson Welles,Cécile Aubry,Jack Hawkins,Michael Rennie,Finlay Currie,Herbert Lom,Mary Clare,Robert Blake,Alfonso Bedoya",TyronePower OrsonWelles CécileAubry JackHawkins MichaelRennie FinlayCurrie HerbertLom MaryClare RobertBlake AlfonsoBedoya,Adventure Romance History War  fr TyronePower OrsonWelles CécileAubry JackHawkins MichaelRennie FinlayCurrie HerbertLom MaryClare RobertBlake AlfonsoBedoya
8,tt0042276,7.5,12402,Born Yesterday,1950,103,Comment l'esprit vient aux femmes,fr,24481,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",8.31,https://image.tmdb.org/t/p/original/5KWpPOwBm53hs9J8JAscd5WI1jo.jpg,['US'],"Comedy,Romance,Drama",Bande-annonce non trouvée,"washington dc, usa,congress,tycoon,based on play or musical,political satire","Judy Holliday,William Holden,Broderick Crawford,Howard St. John,Frank Otto,Larry Oliver,Barbara Brown,Grandon Rhodes,Claire Carleton,Chet Brandenburg",JudyHolliday WilliamHolden BroderickCrawford HowardSt.John FrankOtto LarryOliver BarbaraBrown GrandonRhodes ClaireCarleton ChetBrandenburg,Comedy Romance Drama washington dc  usa congress tycoon based on play or musical political satire fr JudyHolliday WilliamHolden BroderickCrawford HowardSt.John FrankOtto LarryOliver BarbaraBrown GrandonRhodes ClaireCarleton ChetBrandenburg
9,tt0042279,6.7,1019,Branded,1950,104,Marqué au fer,fr,160783,"A gunfighter takes part in a scheme to bilk a wealthy cattle family out of half a million dollars by pretending to be their son, who was kidnapped as child.",3.953,https://image.tmdb.org/t/p/original/e84Md7wUVzpOHaAPt02i2yUc061.jpg,['US'],"Adventure,Romance,Western",Bande-annonce non trouvée,gunfighter,"Alan Ladd,Mona Freeman,Charles Bickford,Robert Keith,Joseph Calleia,Peter Hansen,Selena Royle,Tom Tully,John Berkes,Milburn Stone",AlanLadd MonaFreeman CharlesBickford RobertKeith JosephCalleia PeterHansen SelenaRoyle TomTully JohnBerkes MilburnStone,Adventure Romance Western gunfighter fr AlanLadd MonaFreeman CharlesBickford RobertKeith JosephCalleia PeterHansen SelenaRoyle TomTully JohnBerkes MilburnStone
