tconst,Actors_names,averageRating,startYear,runtimeMinutes,title,language,tmdb_id,original_title,overview,popularity,poster_path,production_countries,spoken_languages,production_companies_name,genres,Keywords,actors,mots
tt0041117,RobertTaylor JohnHodiak ArleneDahl DonTaylor JeanHagen BruceCowling LeonAmes JohnMcIntire PatMoriarity CharlesStevens SamWood,6.5,1950,90,Embuscade,fr,151310,Ambush,A Westerner searches for a white woman held by the Apaches.,2.757,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cmmfwAJH1AxV6moF8cqJPdgFfMI.jpg,['US'],en,['Metro-Goldwyn-Mayer'],"Western,Drama",apache nation,"Robert Taylor, John Hodiak, Arlene Dahl, Don Taylor, Jean Hagen, Bruce Cowling, Leon Ames, John McIntire, Pat Moriarity, Charles Stevens, Sam Wood",Western Drama apache nation fr en RobertTaylor JohnHodiak ArleneDahl DonTaylor JeanHagen BruceCowling LeonAmes JohnMcIntire PatMoriarity CharlesStevens SamWood
tt0041141,NinónSevilla TitoJunco AndreaPalma RubénRojo MiguelInclán JorgeMondragón MarujaGrifell LuisLópezSomoza MaríaGentilArcos MiguelManzano AlbertoGout,7.5,1950,101,Aventurière,fr,114896,Aventurera,"Left alone after her mother runs off with another man and her father kills himself, Elena attempts to make a new life for herself in a new city. Believing he's a friend, Elena goes to dinner with ""Pretty Boy"" Lucio, but he drugs her champagne and sells her to Rosaura, who runs a brothel out of her nightclub. Elena becomes a sensation as a dancer, but all the while she nurtures plans of revenge against those who have conspired against her.",1.686,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/A2hJ0jnC4GzEkzw8YOHp4bXAya0.jpg,['MX'],es,['Cinematográfica Calderón S.A.'],"Musical,Drama","musical,rumbera","Ninón Sevilla, Tito Junco, Andrea Palma, Rubén Rojo, Miguel Inclán, Jorge Mondragón, Maruja Grifell, Luis López Somoza, María Gentil Arcos, Miguel Manzano, Alberto Gout",Musical Drama musical rumbera fr es NinónSevilla TitoJunco AndreaPalma RubénRojo MiguelInclán JorgeMondragón MarujaGrifell LuisLópezSomoza MaríaGentilArcos MiguelManzano AlbertoGout
tt0041181,GeneKelly J.CarrolNaish TeresaCelli MarcLawrence FrankPuglia BarryKelley MarioSiletti CarlMilletaire PeterBrocco EleonoravonMendelssohn RichardThorpe,6.4,1950,92,Black Hand,en,41552,Black Hand,"In turn-of-the-century New York, an Italian seeks vengeance on the mobsters who killed his father.",1.604,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/6WfHXzS2CpXT3DRAwEkDnw7aJIj.jpg,['US'],"en,it",['Metro-Goldwyn-Mayer'],"Film-Noir,Drama,Thriller,Crime","immigrant,italian stereotype","Gene Kelly, J. Carrol Naish, Teresa Celli, Marc Lawrence, Frank Puglia, Barry Kelley, Mario Siletti, Carl Milletaire, Peter Brocco, Eleonora von Mendelssohn, Richard Thorpe",Film-Noir Drama Thriller Crime immigrant italian stereotype en en it GeneKelly J.CarrolNaish TeresaCelli MarcLawrence FrankPuglia BarryKelley MarioSiletti CarlMilletaire PeterBrocco EleonoravonMendelssohn RichardThorpe
tt0041694,BarbaraStanwyck JohnLund JaneCowl PhyllisThaxter LyleBettger HenryO'Neill RichardDenning CaroleMathews HarryAntrim CatherineCraig,7.3,1950,98,I Married a Dead Man,en,40767,No Man of Her Own,A penniless pregnant woman adopts the identity of a rich woman killed in a train crash.,3.959,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pYJukaE6s3AwHXJ1pQl8PEVlozx.jpg,['US'],en,['Paramount'],"Film-Noir,Drama,Romance","blackmail,train crash,film noir,stolen identity,unmarried mother,jilted woman,domestic,melodrama","Barbara Stanwyck, John Lund, Jane Cowl, Phyllis Thaxter, Lyle Bettger, Henry O'Neill, Richard Denning, Carole Mathews, Harry Antrim, Catherine Craig",Film-Noir Drama Romance blackmail train crash film noir stolen identity unmarried mother jilted woman domestic melodrama en en BarbaraStanwyck JohnLund JaneCowl PhyllisThaxter LyleBettger HenryO'Neill RichardDenning CaroleMathews HarryAntrim CatherineCraig
tt0041719,JeanMarais FrançoisPérier MaríaCasares MarieDéa HenriCrémieux JulietteGréco RogerBlin EdouardDermithe AndréCarnège JeanCocteau,7.9,1950,112,Orphée,fr,4558,Orphée,A poet in love with Death follows his unhappy wife into the underworld.,6.808,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ysevOQ1qRChVdWnhvCnB4izaW9d.jpg,['FR'],fr,"['Films du Palais Royal', 'Andre Paulve Film']","Romance,Drama,Fantasy","paris, france,orpheus,mythology,greek mythology","Jean Marais, François Périer, María Casares, Marie Déa, Henri Crémieux, Juliette Gréco, Roger Blin, Edouard Dermithe, André Carnège, Jean Cocteau",Romance Drama Fantasy paris  france orpheus mythology greek mythology fr fr JeanMarais FrançoisPérier MaríaCasares MarieDéa HenriCrémieux JulietteGréco RogerBlin EdouardDermithe AndréCarnège JeanCocteau
tt0042200,J.CarrolNaish BettyHutton HowardKeel LouisCalhern EdwardArnold KeenanWynn BenayVenuta ClintonSundberg DorothyAbbott BetteArlen GeorgeSidney,6.9,1950,107,Annie Get Your Gun,en,25209,Annie Get Your Gun,Gunslinger Annie Oakley romances fellow sharpshooter Frank Butler as they travel with Buffalo Bill's Wild West Show.,6.471,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jyHMlEbmG0IYcAo2m3nfpkx7LXh.jpg,['US'],en,['Metro-Goldwyn-Mayer'],"Comedy,Romance,Western,Musical,Action,Music","musical,annie oakley,sharpshooter,wild west show","J. Carrol Naish, Betty Hutton, Howard Keel, Louis Calhern, Edward Arnold, Keenan Wynn, Benay Venuta, Clinton Sundberg, Dorothy Abbott, Bette Arlen, George Sidney",Comedy Romance Western Musical Action Music musical annie oakley sharpshooter wild west show en en J.CarrolNaish BettyHutton HowardKeel LouisCalhern EdwardArnold KeenanWynn BenayVenuta ClintonSundberg DorothyAbbott BetteArlen GeorgeSidney
tt0042256,TyronePower OrsonWelles CécileAubry JackHawkins MichaelRennie FinlayCurrie HerbertLom MaryClare RobertBlake AlfonsoBedoya,6.2,1950,120,La rose noire,fr,44398,The Black Rose,"In the 13th century, Walter of Gurnie, a disinherited Saxon youth, is forced to flee England. With his friend, Tristram, he falls in with the army of the fierce but avuncular General Bayan, and journeys all the way to China, where both men become involved in intrigues in the court of Kublai Khan.",3.062,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/g8038EuXcIIT10TCj6H3iDSf6xJ.jpg,"['GB', 'US']",en,['20th Century Fox'],"Adventure,Romance,History,War",,"Tyrone Power, Orson Welles, Cécile Aubry, Jack Hawkins, Michael Rennie, Finlay Currie, Herbert Lom, Mary Clare, Robert Blake, Alfonso Bedoya",Adventure Romance History War  fr en TyronePower OrsonWelles CécileAubry JackHawkins MichaelRennie FinlayCurrie HerbertLom MaryClare RobertBlake AlfonsoBedoya
tt0042276,JudyHolliday WilliamHolden BroderickCrawford HowardSt.John FrankOtto LarryOliver BarbaraBrown GrandonRhodes ClaireCarleton ChetBrandenburg,7.5,1950,103,Comment l'esprit vient aux femmes,fr,24481,Born Yesterday,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",8.31,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5KWpPOwBm53hs9J8JAscd5WI1jo.jpg,['US'],en,['Columbia Pictures'],"Comedy,Romance,Drama","washington dc, usa,congress,tycoon,based on play or musical,political satire","Judy Holliday, William Holden, Broderick Crawford, Howard St. John, Frank Otto, Larry Oliver, Barbara Brown, Grandon Rhodes, Claire Carleton, Chet Brandenburg",Comedy Romance Drama washington dc  usa congress tycoon based on play or musical political satire fr en JudyHolliday WilliamHolden BroderickCrawford HowardSt.John FrankOtto LarryOliver BarbaraBrown GrandonRhodes ClaireCarleton ChetBrandenburg
tt0042279,AlanLadd MonaFreeman CharlesBickford RobertKeith JosephCalleia PeterHansen SelenaRoyle TomTully JohnBerkes MilburnStone,6.7,1950,104,Marqué au fer,fr,160783,Branded,"A gunfighter takes part in a scheme to bilk a wealthy cattle family out of half a million dollars by pretending to be their son, who was kidnapped as child.",3.953,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/e84Md7wUVzpOHaAPt02i2yUc061.jpg,['US'],en,['Paramount'],"Adventure,Romance,Western",gunfighter,"Alan Ladd, Mona Freeman, Charles Bickford, Robert Keith, Joseph Calleia, Peter Hansen, Selena Royle, Tom Tully, John Berkes, Milburn Stone",Adventure Romance Western gunfighter fr en AlanLadd MonaFreeman CharlesBickford RobertKeith JosephCalleia PeterHansen SelenaRoyle TomTully JohnBerkes MilburnStone
tt0042285,GaryCooper LaurenBacall PatriciaNeal JackCarson DonaldCrisp GladysGeorge ElizabethPatterson JeffCorey TaylorHolmes ThurstonHall MichaelCurtiz,6.7,1950,110,Bright Leaf,en,83116,Bright Leaf,Two tobacco growers battle for control of the cigarette market.,1.923,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/3zNlVaHbobs4sfo0xK77R15oJJ.jpg,['US'],en,['Warner Bros. Pictures'],"Romance,Drama",tobacco,"Gary Cooper, Lauren Bacall, Patricia Neal, Jack Carson, Donald Crisp, Gladys George, Elizabeth Patterson, Jeff Corey, Taylor Holmes, Thurston Hall, Michael Curtiz",Romance Drama tobacco en en GaryCooper LaurenBacall PatriciaNeal JackCarson DonaldCrisp GladysGeorge ElizabethPatterson JeffCorey TaylorHolmes ThurstonHall MichaelCurtiz
tt0042286,JamesStewart JeffChandler DebraPaget BasilRuysdael WillGeer JoyceMackenzie ArthurHunnicutt RobertAdler TrevorBardette ChrisWillowBird DelmerDaves,7.2,1950,93,La flèche brisée,fr,37292,Broken Arrow,"Indian scout Tom Jeffords is sent out to stem the war between the Whites and Apaches in the late 1870s. He learns that the Indians kill only to protect themselves, or out of retaliation for white atrocities.",14.948,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1gafYQCpDxtfIj7HYBNs4Z3m4oW.jpg,['US'],en,['20th Century Fox'],"Romance,Western,Drama","peace,settler,mail","James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer, Joyce Mackenzie, Arthur Hunnicutt, Robert Adler, Trevor Bardette, Chris Willow Bird, Delmer Daves",Romance Western Drama peace settler mail fr en JamesStewart JeffChandler DebraPaget BasilRuysdael WillGeer JoyceMackenzie ArthurHunnicutt RobertAdler TrevorBardette ChrisWillowBird DelmerDaves
tt0042325,RonaldColman CelesteHolm VincentPrice BarbaraBritton ArtLinkletter GabrielHeatter GeorgeFisher ByronFoulger EllyeMarshall ViciRaaf RichardWhorf,7.4,1950,99,Champagne for Caesar,en,41084,Champagne for Caesar,"When jobless genius Beauregard Bottomley interviews with Burnbridge Waters for a position at Waters' soap company, the owner rudely turns Bottomley down. As revenge, Bottomley enters a TV quiz show that Waters' company sponsors, with the goal of winning until he bankrupts the businessman. When Bottomley keeps acing the questions, becoming a media sensation, Waters desperately calls on vixen Flame O'Neal to uncover Bottomley's area of weakness.",1.771,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jVigwtKTVb9YnoZ4yi3Je5vx88y.jpg,['US'],en,['Cardinal Pictures (II)'],"Comedy,Romance","parrot,encyclopedia,quiz,revenge,physicist,los angeles, california","Ronald Colman, Celeste Holm, Vincent Price, Barbara Britton, Art Linkletter, Gabriel Heatter, George Fisher, Byron Foulger, Ellye Marshall, Vici Raaf, Richard Whorf",Comedy Romance parrot encyclopedia quiz revenge physicist los angeles  california en en RonaldColman CelesteHolm VincentPrice BarbaraBritton ArtLinkletter GabrielHeatter GeorgeFisher ByronFoulger EllyeMarshall ViciRaaf RichardWhorf
tt0042352,LeonAmes CaryGrant JoséFerrer PaulaRaymond SigneHasso RamonNovarro GilbertRoland LillianAdams CarlosBarbe RichardBrooks,6.7,1950,95,Basra,en,52364,Crisis,An American doctor gets caught in the middle of a revolution when he's forced to operate on a South American dictator.,1.687,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9WzagSdW1z9ekz6wH5xpVvYkqJY.jpg,['US'],"en,es","[""Loew's Incorporated"", 'Metro-Goldwyn-Mayer']","Romance,Drama,Thriller,Crime","brain tumor,vacation,dictatorship,doctor,brain surgeon","Leon Ames, Cary Grant, José Ferrer, Paula Raymond, Signe Hasso, Ramon Novarro, Gilbert Roland, Lillian Adams, Carlos Barbe, Richard Brooks",Romance Drama Thriller Crime brain tumor vacation dictatorship doctor brain surgeon en en es LeonAmes CaryGrant JoséFerrer PaulaRaymond SigneHasso RamonNovarro GilbertRoland LillianAdams CarlosBarbe RichardBrooks
tt0042355,MassimoGirotti LuciaBosè FerdinandoSarmi RubiDalma AnitaFarra MichelangeloAntonioni,7.1,1950,98,Story of a Love Affair,en,49781,Cronaca di un amore,"Paola (Lucia Bose) is the beautiful and jealously-guarded younger wife of a shady factory owner, Enrico Fontana (Massimo Girotti). In order to investigate her romantic history he hires a private detective, which ironically brings Paola back into contact with former lover Guido, with whom she resurrects a lost passion. Dogged by the suspicions of their respective mates, they are drawn closer to each other in the face of adversity, and begin to plot Enrico's demise. But when the challenge of being together falls away, will the passion start to wane? A masterpiece of intensity and finely-wrought emotion.",6.531,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9afrreOCHzCPF0Zft7ptWVbk3xr.jpg,['IT'],it,"['Fincine', 'Villani Film']","Romance,Drama,Crime",,"Massimo Girotti, Lucia Bosè, Ferdinando Sarmi, Rubi Dalma, Anita Farra, Michelangelo Antonioni",Romance Drama Crime  en it MassimoGirotti LuciaBosè FerdinandoSarmi RubiDalma AnitaFarra MichelangeloAntonioni
